"applicant_id","cohort","selected","variable","raw_value","rule","severity","action"
100000,"A_2022",0,"age_at_survey","baseline=12; followup=12; change=0","age_change_outside_2_to_4_screen","review","Retain recorded ages and outcomes. Screening rule only. Systematic cohort differences require survey-date clarification, not automatic correction."
100000,"A_2022",0,"years_in_school","years_in_school=2; baseline_age=12; followup_age=12; age_change=0; highest_grade=6","school_years_exceed_age_change_plus_1","review","Retain. Completed school years exceed reported age change plus a one-year diagnostic allowance. Age errors, varying followup horizons or school-year counting could explain this; do not cap the value or delete the applicant."
100000,"A_2022",0,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100001,"A_2020",1,"father_educ",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100001,"A_2020",1,"mother_educ",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100003,"A_2020",1,"years_in_school","years_in_school=4; baseline_age=13; followup_age=15; age_change=2; highest_grade=8","school_years_exceed_age_change_plus_1","review","Retain. Completed school years exceed reported age change plus a one-year diagnostic allowance. Age errors, varying followup horizons or school-year counting could explain this; do not cap the value or delete the applicant."
100004,"A_2020",0,"years_in_school","years_in_school=4; baseline_age=12; followup_age=14; age_change=2; highest_grade=8","school_years_exceed_age_change_plus_1","review","Retain. Completed school years exceed reported age change plus a one-year diagnostic allowance. Age errors, varying followup horizons or school-year counting could explain this; do not cap the value or delete the applicant."
100005,"A_2022",1,"age_at_survey","baseline=11; followup=12; change=1","age_change_outside_2_to_4_screen","review","Retain recorded ages and outcomes. Screening rule only. Systematic cohort differences require survey-date clarification, not automatic correction."
100005,"A_2022",1,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100006,"A_2022",1,"age_at_survey","baseline=10; followup=11; change=1","age_change_outside_2_to_4_screen","review","Retain recorded ages and outcomes. Screening rule only. Systematic cohort differences require survey-date clarification, not automatic correction."
100006,"A_2022",1,"father_age",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100006,"A_2022",1,"father_educ",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
